"price","size_sqft","lot_sqft","bedrooms","bathrooms","year_built","year_renovated","renovated","condition","location_quality","dist_center_km","crime_rate","school_rating","has_pool","garage_cars","waterfront"
106886200,1324,3820,4,3,1949,1960,"Yes","Good","Low",31.62,80.8,7,"No",2,"No"
3547500,1179,2000,2,1,1945,NA,"No","Fair","Low",39.98,87.2,3,"No",0,"No"
4314200,1332,2699,4,4,1977,NA,"No","Fair","Medium",24.92,22.7,6,"No",2,"No"
12324600,2649,6986,4,3.5,2008,2024,"Yes","Good","Medium",14.77,44.1,5,"No",3,"No"
7289500,1084,2317,2,1.5,2000,NA,"No","Good","Medium",19.19,63.1,5,"Yes",3,"No"
4850500,2190,4922,4,3,1980,NA,"No","Fair","Medium",9.51,44.3,7,"No",1,"No"
3088600,1372,4329,2,1.5,1976,NA,"No","Fair","Low",20.86,91.9,3,"No",0,"No"
20587500,2791,7137,4,2.5,2000,2024,"Yes","Excellent","High",3.58,33.8,7,"Yes",2,"No"
10070800,1920,2442,3,3.5,1998,NA,"No","Fair","High",4.34,40.8,10,"No",2,"No"
5651000,1955,5960,2,2,1994,2011,"Yes","Good","High",8.43,21.8,7,"No",0,"No"
33873300,3464,7488,5,4,2018,2024,"Yes","Excellent","High",11.73,45.1,8,"Yes",2,"No"
3065700,1694,2000,3,3,1966,NA,"No","Fair","Medium",19.98,45.7,7,"No",1,"No"
130116500,2885,3901,3,3.5,2023,NA,"No","Good","Premium",5.4,29,8,"Yes",3,"No"
8144400,1989,6101,4,2.5,2015,2024,"Yes","Excellent","Medium",9.35,55.8,6,"No",2,"No"
10496900,1884,4441,3,2.5,1953,NA,"No","Fair","Low",36.38,80.5,4,"No",2,"No"
9275000,830,2000,3,2,1973,NA,"No","Fair","Low",33.85,77,5,"No",1,"No"
5815900,1205,2289,4,4,2015,2024,"Yes","Excellent","Medium",12.09,54.8,7,"No",0,"No"
13312200,2604,6229,5,3.5,1972,NA,"No","Poor","Medium",17.7,40,8,"No",2,"Yes"
9089100,1814,3004,4,2.5,1999,NA,"No","Fair","Medium",20.56,55.4,9,"No",2,"No"
6130800,1864,4878,2,2.5,1990,NA,"No","Good","Medium",17.3,43,7,"Yes",2,"No"
8730700,2899,11495,3,3,1977,NA,"No","Poor","Medium",9.46,61.4,7,"Yes",2,"No"
4833400,1402,3577,4,4,1981,NA,"No","Fair","Medium",13.39,26.8,5,"No",1,"No"
4654000,1645,4544,4,3,1972,NA,"No","Fair","Medium",16.05,52.3,5,"No",2,"No"
7461700,1041,2246,3,2,1998,NA,"No","Fair","Low",24.26,64.1,5,"No",2,"No"
1927000,1865,3002,2,2,1972,NA,"No","Fair","Medium",18.95,38.2,6,"No",0,"No"
8855600,600,2000,3,3.5,1979,NA,"No","Fair","Low",25.15,78.1,7,"No",1,"No"
880800,917,2501,1,1,1965,NA,"No","Poor","Medium",22.15,63.9,5,"No",0,"No"
6227200,1307,2562,4,3.5,1945,NA,"No","Fair","Low",21.14,45.2,6,"No",0,"No"
11424700,2603,7558,5,2.5,2018,NA,"No","Good","High",4.51,39.7,9,"No",1,"No"
9504300,1345,4012,2,1,2005,2012,"Yes","Good","High",10.39,47.8,9,"No",1,"No"
2632300,874,2251,3,2,1988,NA,"No","Fair","Medium",8.04,49.4,9,"No",0,"No"
518772900,4760,11324,5,3.5,2017,2024,"Yes","Excellent","Premium",2.86,0,9,"Yes",4,"No"
9827800,2235,3532,5,4,2000,2008,"Yes","Excellent","Medium",19.29,58.1,5,"No",0,"No"
251418900,3964,9413,6,4.5,2006,2020,"Yes","Good","Premium",3.44,21.4,9,"Yes",3,"No"
49640900,1032,2972,2,1.5,1959,1968,"Yes","Excellent","Low",31.23,89,3,"No",2,"No"
4039400,2537,3309,4,2.5,1980,NA,"No","Fair","Medium",17.21,38.8,6,"No",1,"No"
4791100,1119,3145,2,2.5,1984,NA,"No","Good","Medium",22.17,44.4,3,"Yes",3,"No"
119607700,3725,9252,6,5,2015,NA,"No","Good","Premium",5.4,11.5,8,"Yes",3,"No"
22963900,1744,2941,4,3.5,1965,NA,"No","Fair","Low",28.2,68.3,6,"No",2,"No"
1929700,1617,5338,3,2.5,1962,NA,"No","Fair","Medium",8.67,45.3,8,"No",2,"No"
610303100,2783,7472,3,3.5,2004,2024,"Yes","Excellent","Premium",5.24,14.2,9,"Yes",3,"No"
128715600,3000,10522,4,4,1997,NA,"No","Fair","Premium",2.69,24.1,9,"Yes",2,"No"
7119000,2309,3800,5,3,1989,NA,"No","Fair","High",6.67,48.7,9,"No",1,"No"
4077800,1344,2903,4,3,1982,NA,"No","Fair","Medium",11.11,27.3,7,"No",1,"No"
6470500,1786,3596,2,1.5,1997,2008,"Yes","Excellent","Medium",12.79,61.2,6,"No",1,"No"
4788600,1032,2990,2,2,1973,NA,"No","Poor","Low",36.84,85.9,6,"No",2,"No"
496560800,4553,6967,6,5,2016,2023,"Yes","Good","Premium",1.77,20.4,9,"Yes",3,"No"
5260800,2392,5435,3,1.5,2013,NA,"No","Good","High",4.14,22.9,7,"No",0,"No"
5496400,2308,4834,3,1,1969,NA,"No","Fair","Medium",13.73,50.7,8,"Yes",4,"No"
84333200,3317,7568,5,4,2001,2011,"Yes","Excellent","High",7.61,37.5,8,"Yes",2,"No"
6888800,2772,8689,3,2,1993,NA,"No","Fair","High",8.9,6.9,8,"Yes",3,"No"
18527400,1237,2000,3,2.5,1990,NA,"No","Good","Low",24.11,82.9,4,"Yes",3,"No"
4470900,1731,4381,2,1,1989,NA,"No","Good","High",4.92,26.6,9,"No",2,"No"
11348200,2130,6422,3,3.5,2005,2024,"Yes","Excellent","Medium",13.22,48.8,9,"No",1,"No"
4532900,1849,4126,4,3.5,1980,2002,"Yes","Good","Medium",9.83,49.3,7,"No",0,"No"
3043900,1082,2000,2,1.5,1987,NA,"No","Fair","Medium",19.8,43.4,7,"No",0,"No"
135467500,3308,10037,6,4,2018,NA,"No","Good","Premium",4.54,8.3,9,"Yes",2,"No"
7672300,898,2000,3,2.5,1973,NA,"No","Fair","Medium",15.68,47.3,6,"Yes",2,"No"
24648900,2758,7541,5,4.5,2017,NA,"No","Good","High",7.85,23.8,8,"No",2,"No"
10452000,2463,7508,5,4,1988,NA,"No","Fair","High",6.97,20.8,8,"No",0,"No"
11519300,2245,6667,5,4,1990,NA,"No","Fair","High",11.78,24.7,8,"No",2,"No"
